19.47%,169,,MSCI,MSCI is a leading provider of critical decisions Support tools and services for the global investment community,,4,US,,,,,,Privé,Market,,MSCI ESG GovernanceMetrics,,Basse,,,,,,,ESG,N,,,,,,,,,"Site web pour contact/Jean-Pierre Picarel et Marion de Marcillac
no phone number available ==> contact form on the website or mailing?",,"Jean-Pierre.Picarel@msci.com/Paris
Washington Plaza
29 Rue de Berri
2nd Floor
75008, Paris, France",,,Courant Février avec Jean-Pierre Picarel : Rachat de Carbon Delta qui fait des stress-tests climatiques. Sujet identique à la thèse. Ils ne veulent pas donner de données à des concurrents de Carbon Delta.,,Soukaina TAZROUTI,,Non commencé,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
19.47%,170,,MSCI,MSCI is a leading provider of critical decisions Support tools and services for the global investment community,,4,US,,,,,,Privé,Market,,MSCI ESG INtangible Value Assessment,,Basse,,,,,,,ESG,N,,,,,,,,,"Site web pour contact/Jean-Pierre Picarel et Marion de Marcillac
no phone number available ==> contact form on the website or mailing?",,"Jean-Pierre.Picarel@msci.com/Paris
Washington Plaza
29 Rue de Berri
2nd Floor
75008, Paris, France",,,Courant Février avec Jean-Pierre Picarel : Rachat de Carbon Delta qui fait des stress-tests climatiques. Sujet identique à la thèse. Ils ne veulent pas donner de données à des concurrents de Carbon Delta.,,Soukaina TAZROUTI,,Non commencé,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
16.81%,171,,Munich RE,,https://www.munichre.com/en/,1,,,,,,,Privé,Assurance,,NatCatSERVICE,"NatCatSERVICE is a global natural catastrophe loss database provided by re-insurance company Munich Re.

It is one of the world's most comprehensive databases on natural hazard-based disasters with more than 28 000 entries. It is based on over 200 sources worldwide, including news agencies, insurance companies, international agencies (UN, EU, Red Cross, etc.), scientific sources and weather and warning services.

Every year it records between 600 and 900 hazardous events. It keeps track of all loss events concerning natural hazards that have resulted in material or human losses.",Elevée,Elevée,Abonnement?,,,,,,,,,,,,,,,,,,,,,,Romain Berrou,Ahlam El Fatmi,Non commencé,N,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
24.78%,172,,Nasa,,https://earthdata.nasa.gov,2,US,,,,,,Privé,Market,,Earth Data,,Elevée,Elevée,Open Data,1,0,,,Physique,N,,,,N,,N,https://earthdata.nasa.gov,,,,,,,,,Tom Popa,Antoine Ngo,Non commencé,N,,Open Data,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
28.32%,173,,Nasa,,https://power.larc.nasa.gov/,2,US,,,,,,Privé,Market,,Power,"La base Power de la Nasa propose un ensemble d’indicateurs météorologiques (température, 
pluviométrie, vitesse de vent…) couvrant la totalité du globe à une maille de l’ordre du demi-degré 
(soit 50x70km²)",Elevée,Moyenne,TBD,,,,,,N,,,,,,,https://power.larc.nasa.gov/,,,,,,,,,David Rodrigues,Soukaina TAZROUTI,Non commencé,N,,,,N,N,N,TBD,O,,,,,,,,,Data,,,,TBD,,,Monde  avec une maille 50x70km²,,,TBD,TBD,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
26.55%,174,,"Network for Transport Measures, NTM","The Network for Transport Measures, NTM is a non profit organisation, initiated in 1993 aiming at establishing a common base of values on how to calculate the environmental performance for all various modes of traffic, including goods transport and passenger travel.",,1,Suede,,,1950,,501-1 000 employés,Public,Association,,,,Basse,,Abonnement,0,1,,,Hors Sujet,N,,,,N,,N,,"Calculating fuel/energy use and emissions of greenhouse gases and air pollutants related to individual cargo shipments for all four modes of freight and passenger transport respectively – road, rail, sea and air, including multiple size and capacity options for each mode of transport

https://www.transportmeasures.org/en/ ",,,"NTM, Hornsgatan 15, 5 tr
SE-118 46 Stockholm
Sweden

Phone: +46 8 640 01 65
Fax: +46 8 642 26 41
Email: info@transportmeasures.org",,,,,David Rodrigues,Soukaina TAZROUTI,Fini,N,Hors sujet,,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,3 retours négatifs car ils ne sont pas concernés par le sujet sur le rsique climatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
30.09%,175,,NGFS,,https://www.ngfs.net/en,1,France,,,2017,26 819 324 €,,Public,Organisme,,,,Elevée,Elevée,Abonnement,0,1,,,Physique,N,,,,N,,N,https://www.ngfs.net/en,https://www.ngfs.net/node/218068,Beyond rating,,"The Secretariat is permanently provided by Banque de France.

For further information, please contact us (sec.ngfs@banque-france.fr).    Thomas.ALLEN@banque-france.fr /antoine.boirard@banque-france.fr/clement.payerols@banque-france.fr",,,,,David Rodrigues,Soukaina TAZROUTI,Fini,Sans objet,Uniquement de l'open data,,,N,N,N,modèles en accès libre,,,,,,,,,,,,,,,,,Monde,,,,,,,,.  https://www.ngfs.net/sites/default/files/ngfs_climate_scenario_technical_documentation_final.pdf pas de données en input mais plutôt des modèles décrites dans le document technique ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
51.33%,176,,OECD,,https://www.oecd.org,3,France,,,1960,,1 001-5 000 employés,Public,Organisme,,,,Elevée,Basse,Open Data,1,0,,,Physique,N,,,,N,,N,"https://www.oecd.org/fr/contact/# 
https://data.oecd.org/fr/",https://www.oecd.org/fr/environnement/ressources/,Sans objet,,Acceuil: '0145248200    mail : simon.lange@oecd.org,,,,,David Rodrigues,Soukaina TAZROUTI,Fini,N,https://stats.oecd.org/index.aspx?lang=fr,Open Data,,N,N,N,OECD.stat,,,,,,,,,,Data,,,,annuelle,,,Monde,,,1990,,,,,"La BDD est très riche, on y trouve un historique différent en fonction de l'indicateur (eau usée agricole par exemple date de 1999 à 2019)",N,N,N,N,N,N,,,N,O,N,,,,O,,,,,N,N,N,N,N,N,N,,N,N,N,,,,#REF!,,
49.56%,177,,OECD,,https://www.oecd.org,3,France,,,1960,,1 001-5 000 employés,Public,Organisme,,Produit intérieur brut (PIB),,Moyenne,Basse,Open Data,1,0,Monde,Statistiques officielles,Autre,N,N,N,N,N,O,N,https://data.oecd.org/fr/gdp/produit-interieur-brut-pib.htm,,,,,,,,,Sarah DAYMIER,Sarah DAYMIER,FIni,N,A analyser,Open Data,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,N,N,N,,,,N,,,,,N,N,N,N,N,N,O,,N,N,N,,,,#REF!,,
31.86%,178,,OECD,,https://www.oecd.org,3,France,,,1960,,1 001-5 000 employés,Public,Organisme,,Prévisions du PIB réel à long terme,,Moyenne,Basse,Open Data,1,0,Monde,Statistiques officielles,Autre,N,N,N,N,N,O,O,https://data.oecd.org/fr/gdp/previsions-du-pib-reel-a-long-terme.htm#indicator-chart,,,,,,,,,Sarah DAYMIER,Sarah DAYMIER,Fini,N,A analyser,Open Data,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
69.03%,177,,Office for National Statistics (ONS),"L'Office for National Statistics (ONS, « Bureau de la statistique nationale » en français) est une agence exécutive britannique chargée de collecter et publier les informations statistiques sur l'économie, la population et la société du Royaume-Uni.",https://www.ons.gov.uk/,2,UK,,,,,1 001-5 000 employés,Public,Organisme,,Carbon dioxide emissions intensity by industry,"Annual data on carbon dioxide emissions intensity, measuring the level of emissions per unit of economic output. By UK economic sector from 1997 to 2016 and provisional 2017 .",Basse,Basse,Open Data,1,0,Royaume-Uni.,"-Digest of UK Energy Statistics (DUKES) 
-ONS
",Transition,N,N,O,N,N,N,N,https://www.ons.gov.uk/economy/environmentalaccounts/datasets/carbondioxideemissionsintensitybyindustry,,,,,,,,,Romain Berrou,Soukaina TAZROUTI,Fini,N,https://www.ons.gov.uk/economy/environmentalaccounts/datasets/ukenvironmentalaccountsenergybridging,N,Konrad Skorupa,N,N,N,Besoins de retraitement avant importation sur un IDE,N,O,N,N,N,N,,,,,O,N,N,3 juin 2021,annuelle,O,UK,Par secteur / Par SIC (Nomenclauture anglaise),O,1990,2019,,,,"Difficilement exploitable, dans une feuille nous retrouvons un tableaux par secteur puis en dessous un autre tableau par SIC (nomenclaure anglaise)",N,N,N,N,N,N,N,,N,N,N,,,,O,,,,,N,N,N,N,N,N,N,,N,N,N,,,,#REF!,,
69.03%,178,,Office for National Statistics (ONS),"L'Office for National Statistics (ONS, « Bureau de la statistique nationale » en français) est une agence exécutive britannique chargée de collecter et publier les informations statistiques sur l'économie, la population et la société du Royaume-Uni.",https://www.ons.gov.uk/,2,UK,,,,,1 001-5 000 employés,Public,Organisme,,Low carbon and renewable energy economy estimates,"This release includes annual estimates of low carbon and renewable energy economy activity in the UK and constituent countries: turnover, employment, exports, imports and number of businesses as published on 29 March 2021. This dataset has been updated and now includes annual estimates of acquisitions and disposals.",Basse,Basse,Open Data,1,0,Royaume-Uni.,"-Digest of UK Energy Statistics (DUKES) 
-ONS
",Transition,N,N,O,N,N,N,N,https://www.ons.gov.uk/economy/environmentalaccounts/datasets/lowcarbonandrenewableenergyeconomyfirstestimatesdataset,,,,,,,,,Romain Berrou,Soukaina TAZROUTI,Non commencé,N,,N,Konrad Skorupa,N,N,N,Besoins de retraitement avant importation sur un IDE,N,O,N,N,N,N,,,,,N,N,O,20 mai 2021,NC,O,UK,Par Industries / Par pays ,O,2014,2019,N,,,"Difficilement exploitable, ce sont des estimations avec une forte volatilité ",N,N,N,N,N,N,N,,N,N,N,,,,O,,,,,N,N,N,N,O,N,N,,N,N,N,,,,#REF!,,
25.66%,179,,opencorporates,,https://opencorporates.com,1,UK,,,2010,$3.13 million,11-50 employés,Privé,Tech,,,,Basse,,Abonnement,0,1,,,Hors Sujet,N,,,,N,,N,https://opencorporates.com/info/our-data/,,27/06/2021,,samuel.hardinges@opencorporates.com,,,,,Romain Berrou,Soukaina TAZROUTI,Fini,N,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
24.78%,180,,ORSE (Observation de la RSE),,https://www.orse.org,1,France,,,2000,Non lucratif,2-10 employés,Public,Organisme,,,,Basse,,TBD,0,,,,RSE,N,,,,N,,N,https://www.orse.org/nos-services,,,,,,,"Mail envoyé à:
Anne-sixtine.enjalbert@orse.org
Reponse negative faite le 31/05 ",,Romain Berrou,Ahlam El Fatmi,Fini,N,ils ne disposent pas de données,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
13.27%,181,,Our world in data,,https://ourworldindata.org,1,UK,,,,,,Public,Organisme (repose sur des dons),,France: CO2 Country Profile,,Elevée,,,,,,,,N,,,,,,,https://ourworldindata.org/co2/country/france?country=~FRA,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
29.20%,182,,Potsdam Institute for Climate Impact Research,L'Institut de recherche de Potsdam sur les effets du changement climatique est un institut de recherche allemand fondé en 1992. Il mène ses recherches dans une perspective multidisciplinaire. Il est un des instituts allemand les plus renommés en matière de prévision climatique.,https://www.pik-potsdam.de/en/,2,Pays-bas,,,1992,Non lucratif,201-500 employés,Public,Institut de recherche,,Climate action tracker,,Basse,,,1,0,,,Transition,N,,,,N,,N,https://www.pik-potsdam.de/en/output/publications,https://www.pik-potsdam.de/en/output/publications,,,,,,,,,Soukaina TAZROUTI,Fini,,,Open Data,,N,N,N,,,,,,,,,,,publications,N,N,O,,,,,,,,,,,,ne sont pas des fournisseurs de data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
20.35%,183,,Potsdam Institute for Climate Impact Research,L'Institut de recherche de Potsdam sur les effets du changement climatique est un institut de recherche allemand fondé en 1992. Il mène ses recherches dans une perspective multidisciplinaire. Il est un des instituts allemand les plus renommés en matière de prévision climatique.,https://www.pik-potsdam.de/en,2,Allemagne,,,1992,Non lucratif,201-500 employés,Public,Institut de recherche,,REMIND,"REMIND is a global multi-regional model incorporating the economy, the climate system and a detailed representation of the energy sector",Basse,,,,,,,,N,,,,N,,N,https://www.pik-potsdam.de/en/institute/departments/transformation-pathways/models/remind,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
7.08%,184,,Prodige,,,1,,,,,,,,,Georisque*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
26.55%,185,,Reclaim Finance,ONG engagée dans la transition climatique des acteurs financiers,,1,France,,,,,,Privé,Market,,,,Basse,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,,"Outil de comparaison des politiques des banques en terme de sortie charbon : https://coalpolicytool.org/
Publications : https://reclaimfinance.org/site/en/blog_en/","Lucie Pinson
Fondatrice
& Directrice Générale",,lucie.pinson@reclaimfinance.org.,,,"Envoi d'un mail le 11/03/2021 
n'ont pas leurs propres sources de données (à confirmer)",,QLU,Antoine Ngo,A relancer,Sans objet,,,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,Pas de numéro de téléphone. C'est une ONG/think tank qui font leur propres recherches mais n'ont pas a priori leurs propres BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
62.83%,186,,Refinitiv,,https://www.refinitiv.com/en/about-us,1,UK,,,2018,US$6.1 bn,10 001 employés et plus,Privé,Market,,CAC 40,,Elevée,Elevée,Abonnement,0,1,monde,"site Web de l'entreprise, rapports annuels, rapports ESG, statuts, code de conduite, etc",ESG,N,N,O,O,N,,N,,,bassem BOUHLEL,,"bassem.bouhlel@refinitiv.com
",,,"Mail envoyé le 07/04 (Laura)
Premier contact téléphonique le 12/04/2021 
avec Romain Berrou et Laura Wimel (présentation du projet + présentation de Carbon Market Data)",Second rdv le 19/04/2021 (Romain Berrou + Cyril Regnier) : en attente NDA de Square pour obtenir un échantillon,Romain Berrou,Soukaina TAZROUTI,Fini,O,NDA,O,,N,O,N,XLS,,O,N,N,N,,,,,Data,,,,2021,,,Monde,Compagnies,,2002,2021,O,O,O,CMD travaille sur le périmètre monde. Les données pour l'europe sont disponibles ici : https://www.eea.europa.eu/data-and-maps/data/european-union-emissions-trading-scheme-14 en version aggrégées et ici : https://ec.europa.eu/clima/ets/ en version brute,N,N,N,N,N,N,,,N,N,N,,,,O,,,,,N,N,N,N,,O,,,O,,O,,,,#REF!,,
79.65%,187,,RepRisk,"RepRisk est le premier et le seul fournisseur à tirer parti de la combinaison de l'IA et de l'apprentissage automatique avancé avec l'intelligence humaine pour analyser les sources publiques et identifier les risques ESG liés à l'environnement.
avancée avec l'intelligence humaine pour analyser les sources publiques et identifier les risques ESG liés aux
entreprises et aux projets d'infrastructure. Offrant la plus longue série chronologique ininterrompue de données ESG de tous les acteurs du secteur, RepRisk fournit des informations sur les risques ESG.
de données ESG, RepRisk fournit des recherches et des mesures de risques ESG pour plus de 170 000 entreprises et 45 000 projets d'infrastructure.
170 000 entreprises et 45 000 projets d'infrastructure dans tous les secteurs et tous les pays.
Les clients de RepRisk sont les plus grandes institutions du monde, notamment des banques, des compagnies d'assurance,
d'assurance, des gestionnaires d'investissement et des organisations à but non lucratif - qui font tous confiance à RepRisk pour la diligence raisonnable et l'intégration ESG dans leurs opérations, leurs relations d'affaires et leurs projets.
dans leurs opérations, leurs relations commerciales et leurs investissements.
",https://www.reprisk.com/,3,Suisse,Monde,,1998,NC,201-500 employés,Privé,Tech,,reprisk-data-feed-sample-incident-level ,,Moyenne,Elevée,Abonnement,0,1,Monde,,Risque de réputation,N,N,N,O,O,N,N,,,-angela.flores@reprisk.com   -jenny.nordby@reprisk.com,,"Headquarters
RepRisk AG
Stampfenbachstrasse 42
8006 Zurich, Switzerland
Phone: +41 43 300 54 40  mail: aeby@reprisk.com",,,01/06/2021,,Romain Berrou,Soukaina TAZROUTI,Fini,N,,O,Soukaina TAZROUTI,O,O,O,Excel,,O,N,N,N,N,,,,Data,O,O,N,2021,quotidiennement/hebdomadairement/mensuellement,N,Monde,"175,726 Compagnies",N,01/2007,2021,N,N,N,rdv fixé et NDA signé,N,N,N,N,N,O,N,,N,O,N,N,N,O,O,,,,,O,O,N,N,N,O,O,,N,N,N,OK,KO,KO,OK,,"Présence de plusieurs valeurs manquantes dansla base Metrics, le fichier contient plusieurs indicateurs ESG"
26.55%,188,,Risk Management Solution - RMS,"RMS est le chef de file de la gestion de risques liés aux catastrophes, un secteur dans lequel la société fait figure de pionnier en alliant la science des données et de la modélisation à une technologie de pointe.",https://www.rms.com,1,US,,,,,,Privé,Market,,Loss cost,,Moyenne,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://www.rms.com/data/loss-costs,https://www.rms.com/,,,"7575 Gateway Blvd., Suite 300 Newark, CA 94560

Tel: 1.510.505.2500 Fax: 1.510.505.2501",,,,,QLU,Antoine Ngo,Non commencé,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
21.24%,189,,Riskmetrics (US),,,1,US,,,,,,Privé,Market,,,,A définir,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,,,,,,,,,,Tom Popa,Julien Cazabat,Non commencé,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
6.19%,190,,RobecoSam,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
26.55%,191,,S&P Global Platts,"S&P Global Platts provides independent energy news and benchmark prices for commodity markets around the world, helping you to act with conviction.",https://www.spglobal.com,1,UK,,,,,,Privé,Market,,,,A définir,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://www.spglobal.com/platts/en,,Site web pour contact,,https://www.spglobal.com/platts/en/contact,,,12/04/2021 : contact via formulaire,,Romain Berrou,Antoine Ngo,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
15.93%,192,,Scaled risk,,,1,France,,,,,,Privé,Tech,,,,Basse,,,,,,,ESG,N,,,,N,,N,,,,,,,,,,Romain Berrou,Soukaina TAZROUTI,Non commencé,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
25.66%,193,,Standard Ethics (US),"Standard Ethics est une agence de notation extra-financière internationale spécialisée dans l'évaluation de type qualitatif des entreprises selon des critères sociaux et environnementaux et suivant un cahier des charges lié au développement durable, en utilisant une forme de notation spécifique et du reporting environnemental.",https://www.standardethics.eu/fr/,1,UK,,,,,,Public,Organisme,,,,Elevée,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://www.standardethics.eu/fr/,,,,"Standard Ethics Ltd
Office 3.05 - 1 King Street
London - EC2V 8AU
",,,"26/04/2021: email envoyé via le formulaire automatique mis à disposition sur le site ==> Confirmation de réception de la demande le 26/04, en attente d'un retour plus complet (Nouveau contact: Elizabeth Rodgers, Front Office, headquarters@standardethics.eu)",,Tom Popa,Julien Cazabat,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
38.05%,194,,Sustainalytics,"Sustainalytics, une société Morningstar, de recherche, de notation et de données ESG de premier plan qui soutient les investisseurs du monde entier. Depuis plus de 25 ans, le cabinet est à la pointe de
développer des solutions innovantes de haute qualité pour répondre aux besoins évolutifs des investisseurs mondiaux. Aujourd'hui, Sustainalytics travaille avec des centaines des principaux gestionnaires d'actifs et fonds de pension au monde qui intègrent des informations ESG et de gouvernance d'entreprise et évaluations dans leurs processus d’investissement. Sustainalytics travaille également avec des centaines d'entreprises et leurs intermédiaires financiers pour les aider à considérer la durabilité dans les politiques, les pratiques et les projets d'immobilisations. Avec 17 bureaux dans le monde,  plus de 800 membres du personnel, y compris plus de 300 analystes possédant une expertise multidisciplinaire variée dans plus de 40 groupes industriels",www.sustainalytics.com,1,NL,,,,,,Privé,Produit,,,,Elevée,Elevée,Open Data / Abonnement,1,1,,,Transition,N,,,,N,,N,www.sustainalytics.com.,Echantillon envoyé à la team le 21/04 à 14.44,anais.labigne@sustainalytics.com,,,,,"Par telephone: repondeur
Par mail Christoph.Matschke@sustainalytics.com: en attente du retour
Vendredi 9/04: RDV avec Anais Labigne jeudi 15/04 à 10h ",A définir,Romain Berrou,Ahlam El Fatmi,En cours,O,En cours d'analyse,Open Data,,N,N,N,,,,,,,,,,,Data,O,O,O,2018,,,"Monde (Europe, amerique, l'Asie-pacifique)",,,1996,,non,oui,non,"Réunion avec Charline Mesle et Anais Labigne responsables de développement le 15/04: l'entreprise fait de
 la notation ESG et ils ont une base de données qui n'est pas accessible à tout le monde, les données gratuites 
sont sur Bloomberg donc le fait d'avoir leur données ne sera pas gratuit ==> à décider de la prochaine étape avec
 Cyrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
25.66%,195,,Swiss Re,Ré assureur,,1,Suisse,,,,,,Privé,Assurance,,,,Basse,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,,https://www.swissre.com/,Site web pour contact,,https://www.swissre.com/contact-form-with-dependencies.html#ContactForm,,,"contacté via formulaire sur site le 12/03/2021
Walter Eraud (CEO France) contacté par linkedin le 31/03",,QLU,Antoine Ngo,A relancer (2ème fois),N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
22.12%,196,,Sycomore asset management,Sycomore is an asset-management firm,https://en.sycomore-am.com,1,France,,,,,,Privé,Organisation,,NEC (model),,Basse,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://en.sycomore-am.com,,,,,,,,,,,Non commencé,,,,,N,N,N,,,,,,,,,,,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
56.64%,197,,Tomorrow,,https://www.tmrow.com/,1,Danemark,,,2016,,2-10 employés,Privé,Tech,,ElectricityMap Data,la base envoyé est une extraction de 2018 mais le périmètre est plus large.,Moyenne,A définir,Abonnement,1,0,,,Physique,N,,,,N,,N,"https://api.electricitymap.org/open-source/?utm_source=electricitymap.org&utm_medium=referral
https://www.tmrow.com/","
https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTwkNNqM3BML6juHyk-FtwQpF8kIQoebm0zrC10L_Zkzw3fO2aBKRccbuH26Br87NZ5hFHc6TWBhf6i/pubhtml?urp=gmail_link&gxids=7757

This spreadsheet shows which kind of variables we offer in our data. In case you haven't you can also check out our live map.
https://www.electricitymap.org/map
",Sans objet,,markus.killendahl@tmrow.com,,,"premier contact pris le 09/03 sur linkdin retour du client le 10/03 pour avoir plus de de détails, en attente du réponse finale ",,Tom Popa,Soukaina TAZROUTI,Fini,O,,Open Data,Elisabeth CVAR,N,N,O,XLS,,O,N,N,N,N,,,,Data,O,N,N,,,,Europe + Afrique,,,2018,2018,,Oui,,"https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTwkNNqM3BML6juHyk-FtwQpF8kIQoebm0zrC10L_Zkzw3fO2aBKRccbuH26Br87NZ5hFHc6TWBhf6i/pubhtml?urp=gmail_link&gxids=7757

This spreadsheet shows which kind of variables we offer in our data. In case you haven't you can also check out our live map.
https://www.electricitymap.org/map",N,N,N,N,N,N,,,N,N,N,,,,O,,,,,,"coal
 gas  
 hydro  
 nuclear  
 oil  
 solar  
 wind  
 geothermal  

",,,,N,,,N,,N,,,,#REF!,,
72.57%,198,,Trucost (s&p - UK),"Données et analyses, Empreintes et audits de portefeuilles, Quantifier les impacts positifs, Obligations vertes, Produits d'investissement, Mesure de l'impact, Évaluation du capital naturel, social et humain, Innovation de produits, Chaînes d'approvisionnement durables et Assurance et rapports",https://www.spglobal.com/esg/trucost,1,UK,,,2000,,51-200 employés,Privé,Produit,,SFDRPAIData,,Elevée,Elevée,Abonnement,0,1,Compagnies,,Autre,N,O,O,O,N,N,O,,,hermann.kumapley@spglobal.com /  Florent.Helfre@spglobal.com,,"Trucost
40 rue de Courcelles
Paris 75008
France

T: +33 6 34 92 68 62
E: TrucostEMEA@spglobal.com",,,01/06,,Romain Berrou,Soukaina TAZROUTI,Fini,N,,O,Soukaina TAZROUTI,O,O,O,Excel,,O,N,N,N,N,,,,Data,O,O,O,2021,Hebdomadaire,N,Toute géographie couverte (Monde),"20,000 companies",N,"- 2005 pour les indicateurs environnementaux 
- 2013 pour les indicateurs sociaux pour les grandes et moyennes capitalisations.",2020,O,O,O,,O,N,O,N,O,O,,,N,O,O,,,,O,,,,,O,O,N,N,N,O,,,N,N,N,OK,KO,OK,#REF!,,"Les bases de données S&P sont riches, les client a envoyé un seul echantillon et plusieurs dictionnaires de données"
23.01%,199,,TruValue Labs,,www.truvaluelabs.com,1,US,,,,,,Privé,Tech,,,,Basse,,TBD,0,,,,TBD,N,,,,N,,N,www.truvaluelabs.com,,Mark Brentnall,,"M:+44 (0)77 66332 994

mark.brentnall@factset.com",,,"Formulaire rempli et envoyé sur le site ==> en attente de retour
07/06: demonstration faite par Mark Brentnall
Sales Director ",,Romain Berrou,Ahlam El Fatmi,en cours,N,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
62.83%,200,,Ubyrisk consultant,"Ubyrisk  Consultant est une société spécialisée depuis 2006 dans l'étude, le conseil et l'expertise dans le domaine des risques naturels. l'activité du cabinet est organisé en deux poles indépendants mais complémentaires : prestations web et bureau d'étude / conseil",https://www.catnat.net,7,France,Monde,,2006,,,Privé,Consulting,,BD CATNAT,,Elevée,Elevée,Abonnement,0,1,France+Monde,"-Médias : presse écrite (régionale, nationale), agence de presse, presse TV
+ ONG
+ Correspondant locaux
+ Réassureurs
+ Agences gouvernementales / Ministères
+ Sites scientifiques thématiques
+ Réseaux sociaux
",Physique,N,O,N,N,N,,N,https://www.catnat.net/donneesstats/telechargements/base-de-donnees-bd-catnat,,,,l'interloculteur est joignable par tél: 06 74 28 17 16.,,,point téléphonique 15/04/2021,,GVE,Soukaina TAZROUTI,Fini,O,En cours d'analyse de l'échantillon envoyé,N,Asmynour Youssouf,O,N,O,XLS,,O,N,N,N,,,,,Data,O,O,O,Très régulière: quotidienne/mensuelle,,,Monde,"Latitude
Longitude",,1982,2021,O,liste des champs + extraction,,Liste des champs et tarification envoyés dans le mail du 16/04/2021 à Cyril et Sarah,O,O,O,O,O,O,,,N,N,N,,,,N,,,,,N,N,,,,N,,,N,,N,,,,#REF!,,
